,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
450,Kyrgyzstan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,99.099998,MICS 2018
451,Kyrgyzstan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,99.5,MICS 2018
452,Kyrgyzstan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,99.199997,MICS 2018
455,Cambodia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,47.900002,DHS 2014
456,Cambodia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,63.900002,DHS 2014
457,Cambodia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,75.400002,DHS 2014
458,Cambodia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,86.0,DHS 2014
459,Cambodia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,90.099998,DHS 2014
460,Cambodia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,71.199997,DHS 2014
461,Cambodia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,84.699997,DHS 2014
462,Cambodia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,73.300003,DHS 2014
465,Kiribati,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,88.404633,MICS 2018-19
466,Kiribati,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,93.218246,MICS 2018-19
467,Kiribati,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,96.067299,MICS 2018-19
468,Kiribati,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,96.96077,MICS 2018-19
469,Kiribati,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,95.834106,MICS 2018-19
470,Kiribati,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,92.542351,MICS 2018-19
471,Kiribati,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,95.532654,MICS 2018-19
472,Kiribati,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,94.086327,MICS 2018-19
475,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,57.826679,MICS 2017
476,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,79.705643,MICS 2017
477,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,91.336029,MICS 2017
478,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,96.53965,MICS 2017
479,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,98.098869,MICS 2017
480,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,79.12899,MICS 2017
481,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,95.494492,MICS 2017
482,Lao People's Democratic Republic,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,83.433311,MICS 2017
485,Liberia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,10.3,DHS 2013
486,Liberia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,12.4,DHS 2013
487,Liberia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,22.799999,DHS 2013
488,Liberia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,39.299999,DHS 2013
489,Liberia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,57.400002,DHS 2013
490,Liberia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,15.1,DHS 2013
491,Liberia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,44.0,DHS 2013
492,Liberia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,34.200001,DHS 2013
495,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,97.800003,MICS 2012
496,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,98.099998,MICS 2012
497,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,100.0,MICS 2012
498,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,100.0,MICS 2012
499,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,100.0,MICS 2012
500,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,98.900002,MICS 2012
501,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,100.0,MICS 2012
502,Saint Lucia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,99.099998,MICS 2012
505,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,97.852158,DHS 2016
506,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,98.91008,DHS 2016
507,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,99.128807,DHS 2016
508,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,99.534286,DHS 2016
509,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,99.589592,DHS 2016
510,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,98.950729,DHS 2016
511,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,98.995956,DHS 2016
512,Sri Lanka,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,98.957878,DHS 2016
515,Lesotho,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,57.900002,MICS 2018
516,Lesotho,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,77.099998,MICS 2018
517,Lesotho,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,81.900002,MICS 2018
518,Lesotho,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,86.699997,MICS 2018
519,Lesotho,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,96.099998,MICS 2018
520,Lesotho,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,73.599998,MICS 2018
521,Lesotho,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,92.300003,MICS 2018
522,Lesotho,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,79.900002,MICS 2018
525,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,97.002724,MICS 2012
526,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,98.91114,MICS 2012
527,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,99.085876,MICS 2012
528,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,100.0,MICS 2012
529,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,100.0,MICS 2012
530,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,99.147858,MICS 2012
531,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,98.95536,MICS 2012
532,Republic of Moldova,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,99.0895,MICS 2012
535,Madagascar,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,17.6,MICS 2018
536,Madagascar,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,37.900002,MICS 2018
537,Madagascar,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,57.299999,MICS 2018
538,Madagascar,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,73.400002,MICS 2018
539,Madagascar,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,88.599998,MICS 2018
540,Madagascar,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,50.400002,MICS 2018
541,Madagascar,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,73.900002,MICS 2018
542,Madagascar,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,55.900002,MICS 2018
545,Mexico,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,97.199997,ENIGH 2018
546,Mexico,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,98.099998,ENIGH 2018
547,Mexico,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,97.900002,ENIGH 2018
550,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,97.389717,MICS 2018-19
551,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,96.566223,MICS 2018-19
552,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,99.201767,MICS 2018-19
553,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,99.698593,MICS 2018-19
554,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,100.0,MICS 2018-19
555,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,99.352341,MICS 2018-19
556,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,97.505638,MICS 2018-19
557,North Macedonia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,98.280487,MICS 2018-19
560,Mali,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,16.200001,MICS 2015
561,Mali,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,25.200001,MICS 2015
562,Mali,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,37.599998,MICS 2015
563,Mali,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,55.299999,MICS 2015
564,Mali,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,78.5,MICS 2015
565,Mali,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,35.599998,MICS 2015
566,Mali,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,74.5,MICS 2015
567,Mali,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,45.200001,MICS 2015
570,Myanmar,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,64.240372,DHS 2015-16
571,Myanmar,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,83.519531,DHS 2015-16
572,Myanmar,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,88.304298,DHS 2015-16
573,Myanmar,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,89.660103,DHS 2015-16
574,Myanmar,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,92.495407,DHS 2015-16
575,Myanmar,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,80.777603,DHS 2015-16
576,Myanmar,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,89.696701,DHS 2015-16
577,Myanmar,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,83.093033,DHS 2015-16
580,Montenegro,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,89.023163,MICS 2018
581,Montenegro,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,95.130943,MICS 2018
582,Montenegro,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,100.0,MICS 2018
583,Montenegro,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,100.0,MICS 2018
584,Montenegro,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,97.501266,MICS 2018
585,Montenegro,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,97.590286,MICS 2018
586,Montenegro,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,95.262802,MICS 2018
587,Montenegro,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,96.030838,MICS 2018
590,Mongolia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,92.923851,MICS 2013-14
591,Mongolia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,96.693039,MICS 2013-14
592,Mongolia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,99.598572,MICS 2013-14
593,Mongolia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,99.135536,MICS 2013-14
594,Mongolia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,99.232353,MICS 2013-14
595,Mongolia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,95.930183,MICS 2013-14
596,Mongolia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,98.334877,MICS 2013-14
597,Mongolia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,97.365547,MICS 2013-14
600,Mauritania,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,48.583069,MICS 2015
601,Mauritania,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,50.8438,MICS 2015
602,Mauritania,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,60.976929,MICS 2015
603,Mauritania,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,69.279762,MICS 2015
604,Mauritania,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,85.519218,MICS 2015
605,Mauritania,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,54.001221,MICS 2015
606,Mauritania,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,72.450523,MICS 2015
607,Mauritania,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,62.90905,MICS 2015
610,Malawi,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,25.299999,DHS 2015-16
611,Malawi,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,33.599998,DHS 2015-16
612,Malawi,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,42.799999,DHS 2015-16
613,Malawi,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,53.5,DHS 2015-16
614,Malawi,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,72.900002,DHS 2015-16
615,Malawi,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,42.700001,DHS 2015-16
616,Malawi,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,73.099998,DHS 2015-16
617,Malawi,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,46.700001,DHS 2015-16
620,Namibia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,66.199997,DHS 2013
621,Namibia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,69.400002,DHS 2013
622,Namibia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,82.199997,DHS 2013
623,Namibia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,89.400002,DHS 2013
624,Namibia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,96.599998,DHS 2013
625,Namibia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,74.199997,DHS 2013
626,Namibia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,89.199997,DHS 2013
627,Namibia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,80.599998,DHS 2013
630,Niger,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,7.819839,DHS 2012
631,Niger,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,19.519819,DHS 2012
632,Niger,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,17.272181,DHS 2012
633,Niger,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,25.121281,DHS 2012
634,Niger,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,57.63303,DHS 2012
635,Niger,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,19.125019,DHS 2012
636,Niger,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,60.891392,DHS 2012
637,Niger,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,29.052469,DHS 2012
640,Nigeria,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,26.5,DHS 2018
641,Nigeria,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,56.700001,DHS 2018
642,Nigeria,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,79.300003,DHS 2018
643,Nigeria,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,91.599998,DHS 2018
644,Nigeria,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,96.400002,DHS 2018
645,Nigeria,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,56.900002,DHS 2018
646,Nigeria,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,87.400002,DHS 2018
647,Nigeria,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,70.599998,DHS 2018
650,Nepal,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,76.070992,MICS 2019
651,Nepal,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,78.786613,MICS 2019
652,Nepal,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,79.631577,MICS 2019
653,Nepal,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,83.775597,MICS 2019
654,Nepal,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,96.077217,MICS 2019
655,Nepal,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,79.459106,MICS 2019
656,Nepal,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,83.1287,MICS 2019
657,Nepal,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,81.818573,MICS 2019
660,Pakistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,28.415791,DHS 2017-18
661,Pakistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,47.95586,DHS 2017-18
662,Pakistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,64.402946,DHS 2017-18
663,Pakistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,77.872009,DHS 2017-18
664,Pakistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,91.642326,DHS 2017-18
665,Pakistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,51.5825,DHS 2017-18
666,Pakistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,75.19635,DHS 2017-18
667,Pakistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,59.639839,DHS 2017-18
670,Panama,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,80.699997,MICS 2013
671,Panama,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,98.099998,MICS 2013
672,Panama,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,98.800003,MICS 2013
673,Panama,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2013.0,99.400002,MICS 2013
674,Panama,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2013.0,100.0,MICS 2013
675,Panama,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2013.0,88.199997,MICS 2013
676,Panama,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2013.0,98.800003,MICS 2013
677,Panama,Completion rate for children of primary school age,Total,Primary education,Total,Total,2013.0,95.099998,MICS 2013
680,Peru,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,88.099998,DHS 2012
681,Peru,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,95.199997,DHS 2012
682,Peru,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,96.400002,DHS 2012
683,Peru,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,96.699997,DHS 2012
684,Peru,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,98.5,DHS 2012
685,Peru,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,91.699997,DHS 2012
686,Peru,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,96.400002,DHS 2012
687,Peru,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,95.0,DHS 2012
690,Philippines,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,78.422157,DHS 2017
691,Philippines,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,92.004387,DHS 2017
692,Philippines,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,94.105553,DHS 2017
693,Philippines,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,96.525703,DHS 2017
694,Philippines,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,98.272247,DHS 2017
695,Philippines,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,90.679237,DHS 2017
696,Philippines,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,92.873787,DHS 2017
697,Philippines,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,91.587219,DHS 2017
700,Democratic People's Republic of Korea,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,100.0,MICS 2017
701,Democratic People's Republic of Korea,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,100.0,MICS 2017
702,Democratic People's Republic of Korea,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,100.0,MICS 2017
703,Democratic People's Republic of Korea,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,100.0,MICS 2017
706,Paraguay,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,89.0,Encuesta Permanente de Hogares 2017
707,Paraguay,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,93.199997,Encuesta Permanente de Hogares 2017
708,Paraguay,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,94.400002,Encuesta Permanente de Hogares 2017
709,Paraguay,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,98.699997,Encuesta Permanente de Hogares 2017
710,Paraguay,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,98.0,Encuesta Permanente de Hogares 2017
711,Paraguay,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,90.5,Encuesta Permanente de Hogares 2017
712,Paraguay,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,96.400002,Encuesta Permanente de Hogares 2017
713,Paraguay,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,94.0,Encuesta Permanente de Hogares 2017
716,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,99.209183,MICS 2019-20
717,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,99.134552,MICS 2019-20
718,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,99.502739,MICS 2019-20
719,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,99.896393,MICS 2019-20
720,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,99.773163,MICS 2019-20
721,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,99.613861,MICS 2019-20
722,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,99.484108,MICS 2019-20
723,State of Palestine,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,99.505386,MICS 2019-20
726,Rwanda,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,32.900002,DHS 2014-15
727,Rwanda,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,47.0,DHS 2014-15
728,Rwanda,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,54.799999,DHS 2014-15
729,Rwanda,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,59.5,DHS 2014-15
730,Rwanda,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,67.199997,DHS 2014-15
731,Rwanda,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,51.400002,DHS 2014-15
732,Rwanda,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,67.800003,DHS 2014-15
733,Rwanda,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,54.299999,DHS 2014-15
736,Sudan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,42.107281,MICS 2014
737,Sudan,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,50.16748,MICS 2014
738,Sudan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,57.738789,MICS 2014
739,Sudan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,83.50621,MICS 2014
740,Sudan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,94.325302,MICS 2014
741,Sudan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,57.357449,MICS 2014
742,Sudan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,81.124908,MICS 2014
743,Sudan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,64.774208,MICS 2014
746,Senegal,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,25.72101,DHS 2019
747,Senegal,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,39.151989,DHS 2019
748,Senegal,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,41.56963,DHS 2019
749,Senegal,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,55.444599,DHS 2019
750,Senegal,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,75.065018,DHS 2019
751,Senegal,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,34.044399,DHS 2019
752,Senegal,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,63.682072,DHS 2019
753,Senegal,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,47.144711,DHS 2019
756,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,32.799999,MICS 2017
757,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,40.299999,MICS 2017
758,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,61.700001,MICS 2017
759,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,81.599998,MICS 2017
760,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,87.0,MICS 2017
761,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,44.5,MICS 2017
762,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,82.900002,MICS 2017
763,Sierra Leone,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,64.199997,MICS 2017
766,El Salvador,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,70.900002,MICS 2014
767,El Salvador,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,82.599998,MICS 2014
768,El Salvador,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,90.699997,MICS 2014
769,El Salvador,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,95.699997,MICS 2014
770,El Salvador,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,96.699997,MICS 2014
771,El Salvador,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,80.5,MICS 2014
772,El Salvador,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,90.800003,MICS 2014
773,El Salvador,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,86.400002,MICS 2014
