,Geographic area,Indicator,Sex,Education Level,Wealth Quintile,Residence,Unit of measure,TIME_PERIOD,OBS_VALUE,DATA_SOURCE
834,Togo,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2017.0,76.371941,MICS 2017
835,Togo,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2017.0,83.03212,MICS 2017
836,Togo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2017.0,62.369461,MICS 2017
837,Togo,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2017.0,77.262222,MICS 2017
838,Togo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2017.0,81.502831,MICS 2017
839,Togo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2017.0,86.850021,MICS 2017
840,Togo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2017.0,87.882874,MICS 2017
841,Togo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2017.0,75.63488,MICS 2017
842,Togo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2017.0,85.720428,MICS 2017
843,Togo,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2017.0,79.827332,MICS 2017
844,Thailand,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,98.797523,MICS 2019
845,Thailand,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,98.487228,MICS 2019
846,Thailand,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,97.290207,MICS 2019
847,Thailand,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,97.374031,MICS 2019
848,Thailand,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,99.31765,MICS 2019
849,Thailand,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,99.437553,MICS 2019
850,Thailand,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,99.590477,MICS 2019
851,Thailand,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,98.160538,MICS 2019
852,Thailand,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,99.351883,MICS 2019
853,Thailand,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,98.642647,MICS 2019
854,Tajikistan,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2017.0,97.845848,DHS 2017
855,Tajikistan,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2017.0,99.029587,DHS 2017
856,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2017.0,97.795418,DHS 2017
857,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2017.0,99.39344,DHS 2017
858,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2017.0,99.201553,DHS 2017
859,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2017.0,99.868156,DHS 2017
860,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2017.0,96.326469,DHS 2017
861,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2017.0,98.97541,DHS 2017
862,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2017.0,96.919548,DHS 2017
863,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2017.0,98.471497,DHS 2017
864,Turkmenistan,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,100.0,MICS 2019
865,Turkmenistan,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,100.0,MICS 2019
866,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,100.0,MICS 2019
867,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,100.0,MICS 2019
868,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,100.0,MICS 2019
869,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,100.0,MICS 2019
870,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,100.0,MICS 2019
871,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,100.0,MICS 2019
872,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,100.0,MICS 2019
873,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,100.0,MICS 2019
874,Timor-Leste,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,84.822144,DHS 2016
875,Timor-Leste,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,76.861488,DHS 2016
876,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,59.867001,DHS 2016
877,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,71.368797,DHS 2016
878,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,78.058823,DHS 2016
879,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,90.01738,DHS 2016
880,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,96.227753,DHS 2016
881,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,75.500664,DHS 2016
882,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,92.332718,DHS 2016
883,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,80.68618,DHS 2016
884,Tonga,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,98.64032,MICS 2019
885,Tonga,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,97.791397,MICS 2019
886,Tonga,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,96.910591,MICS 2019
887,Tonga,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,98.306374,MICS 2019
888,Tonga,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,98.488098,MICS 2019
889,Tonga,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,98.716858,MICS 2019
890,Tonga,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,98.685364,MICS 2019
891,Tonga,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,98.705132,MICS 2019
892,Tonga,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,96.482094,MICS 2019
893,Tonga,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,98.213547,MICS 2019
894,Tunisia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2018.0,96.5,MICS 2018
895,Tunisia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2018.0,93.599998,MICS 2018
896,Tunisia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2018.0,88.300003,MICS 2018
897,Tunisia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2018.0,93.800003,MICS 2018
898,Tunisia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2018.0,97.900002,MICS 2018
899,Tunisia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2018.0,96.599998,MICS 2018
900,Tunisia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2018.0,99.300003,MICS 2018
901,Tunisia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2018.0,90.5,MICS 2018
902,Tunisia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2018.0,97.199997,MICS 2018
903,Tunisia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2018.0,95.0,MICS 2018
904,Türkiye,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2013.0,97.853722,DHS style 2013
905,Türkiye,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2013.0,99.025284,DHS style 2013
906,Türkiye,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2013.0,96.326813,DHS style 2013
907,Türkiye,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2013.0,98.044083,DHS style 2013
908,Türkiye,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2013.0,98.86731,DHS style 2013
909,Türkiye,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2013.0,99.55262,DHS style 2013
910,Türkiye,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2013.0,99.91217,DHS style 2013
911,Türkiye,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2013.0,96.494408,DHS style 2013
912,Türkiye,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2013.0,99.014503,DHS style 2013
913,Türkiye,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2013.0,98.4263,DHS style 2013
914,Tuvalu,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2020.0,100.0,MICS 2019-20
915,Tuvalu,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2020.0,98.494034,MICS 2019-20
916,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2020.0,100.0,MICS 2019-20
917,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2020.0,100.0,MICS 2019-20
918,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2020.0,100.0,MICS 2019-20
919,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2020.0,95.327217,MICS 2019-20
920,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2020.0,100.0,MICS 2019-20
921,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2020.0,100.0,MICS 2019-20
922,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2020.0,98.648651,MICS 2019-20
923,Tuvalu,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2020.0,99.146782,MICS 2019-20
924,United Republic of Tanzania,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,83.5,DHS 2015-16
925,United Republic of Tanzania,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,75.199997,DHS 2015-16
926,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,60.799999,DHS 2015-16
927,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,68.300003,DHS 2015-16
928,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,77.5,DHS 2015-16
929,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,86.300003,DHS 2015-16
930,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,94.400002,DHS 2015-16
931,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,74.300003,DHS 2015-16
932,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,89.199997,DHS 2015-16
933,United Republic of Tanzania,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,79.5,DHS 2015-16
934,Uganda,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,43.37463,DHS 2016
935,Uganda,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,39.017052,DHS 2016
936,Uganda,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,17.23793,DHS 2016
937,Uganda,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,25.28302,DHS 2016
938,Uganda,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,39.846111,DHS 2016
939,Uganda,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,52.352852,DHS 2016
940,Uganda,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,68.903343,DHS 2016
941,Uganda,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,35.854599,DHS 2016
942,Uganda,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,60.616138,DHS 2016
943,Uganda,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,41.188141,DHS 2016
944,Ukraine,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2012.0,99.300003,MICS 2012
945,Ukraine,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2012.0,100.0,MICS 2012
946,Ukraine,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2012.0,99.900002,MICS 2012
947,Ukraine,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2012.0,98.099998,MICS 2012
948,Ukraine,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2012.0,99.900002,MICS 2012
949,Ukraine,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2012.0,100.0,MICS 2012
950,Ukraine,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2012.0,100.0,MICS 2012
951,Ukraine,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2012.0,99.400002,MICS 2012
952,Ukraine,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2012.0,99.699997,MICS 2012
953,Ukraine,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2012.0,99.599998,MICS 2012
954,East Asia and Pacific,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,96.374863,UNICEF Global Database
955,East Asia and Pacific,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,95.401977,UNICEF Global Database
956,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,85.312602,UNICEF Global Database
957,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,93.825499,UNICEF Global Database
958,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,95.243069,UNICEF Global Database
959,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,96.764566,UNICEF Global Database
960,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,98.30599,UNICEF Global Database
961,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,94.297297,UNICEF Global Database
962,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,97.473184,UNICEF Global Database
963,East Asia and Pacific,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,95.871518,UNICEF Global Database
964,Eastern Europe and Central Asia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,98.689986,UNICEF Global Database
965,Eastern Europe and Central Asia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,99.274108,UNICEF Global Database
966,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,98.024791,UNICEF Global Database
967,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,98.678679,UNICEF Global Database
968,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,99.217336,UNICEF Global Database
969,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,99.664568,UNICEF Global Database
970,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,99.551861,UNICEF Global Database
971,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,98.500978,UNICEF Global Database
972,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,99.222942,UNICEF Global Database
973,Eastern Europe and Central Asia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,98.977589,UNICEF Global Database
974,Eastern and Southern Africa,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,63.488192,UNICEF Global Database
975,Eastern and Southern Africa,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,60.806121,UNICEF Global Database
976,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,39.354833,UNICEF Global Database
977,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,48.246595,UNICEF Global Database
978,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,59.654716,UNICEF Global Database
979,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,70.212675,UNICEF Global Database
980,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,84.050544,UNICEF Global Database
981,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,52.495425,UNICEF Global Database
982,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,81.289726,UNICEF Global Database
983,Eastern and Southern Africa,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,62.114317,UNICEF Global Database
984,Latin America and Caribbean,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,94.672693,UNICEF Global Database
985,Latin America and Caribbean,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,92.998181,UNICEF Global Database
986,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,84.697609,UNICEF Global Database
987,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,90.73969,UNICEF Global Database
988,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,93.524487,UNICEF Global Database
989,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,95.894618,UNICEF Global Database
990,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,97.541526,UNICEF Global Database
991,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,87.558438,UNICEF Global Database
992,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,95.765901,UNICEF Global Database
993,Latin America and Caribbean,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,93.806183,UNICEF Global Database
994,Middle East and North Africa,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,84.052824,UNICEF Global Database
995,Middle East and North Africa,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,86.123563,UNICEF Global Database
996,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,73.723348,UNICEF Global Database
997,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,81.226877,UNICEF Global Database
998,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,86.376127,UNICEF Global Database
999,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,89.858184,UNICEF Global Database
1000,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,95.17633,UNICEF Global Database
1001,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,80.977676,UNICEF Global Database
1002,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,89.246891,UNICEF Global Database
1003,Middle East and North Africa,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,85.126117,UNICEF Global Database
1004,South Asia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,83.700179,UNICEF Global Database
1005,South Asia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,85.167566,UNICEF Global Database
1006,South Asia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,70.459211,UNICEF Global Database
1007,South Asia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,81.845689,UNICEF Global Database
1008,South Asia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,86.998607,UNICEF Global Database
1009,South Asia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,91.235728,UNICEF Global Database
1010,South Asia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,95.968602,UNICEF Global Database
1011,South Asia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,82.385955,UNICEF Global Database
1012,South Asia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,88.835575,UNICEF Global Database
1013,South Asia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,84.449403,UNICEF Global Database
1014,Sub-Saharan Africa,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,61.754064,UNICEF Global Database
1015,Sub-Saharan Africa,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,61.334899,UNICEF Global Database
1016,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,33.961539,UNICEF Global Database
1017,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,48.147402,UNICEF Global Database
1018,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,60.61605,UNICEF Global Database
1019,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,71.971632,UNICEF Global Database
1020,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,85.0785,UNICEF Global Database
1021,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,49.605088,UNICEF Global Database
1022,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,80.503236,UNICEF Global Database
1023,Sub-Saharan Africa,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,61.520157,UNICEF Global Database
1024,West and Central Africa,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,59.936121,UNICEF Global Database
1025,West and Central Africa,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,61.881917,UNICEF Global Database
1026,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,28.367498,UNICEF Global Database
1027,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,48.044517,UNICEF Global Database
1028,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,61.613167,UNICEF Global Database
1029,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,73.796061,UNICEF Global Database
1030,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,86.144718,UNICEF Global Database
1031,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,45.921709,UNICEF Global Database
1032,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,79.901013,UNICEF Global Database
1033,West and Central Africa,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,60.901471,UNICEF Global Database
1034,Least developed countries,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,58.352321,UNICEF Global Database
1035,Least developed countries,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,58.437723,UNICEF Global Database
1036,Least developed countries,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,58.369756,UNICEF Global Database
1037,Uruguay,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2013.0,98.323517,MICS 2012-13
1038,Uruguay,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2013.0,96.375938,MICS 2012-13
1039,Uruguay,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2013.0,93.287392,MICS 2012-13
1040,Uruguay,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2013.0,99.629593,MICS 2012-13
1041,Uruguay,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2013.0,98.676407,MICS 2012-13
1042,Uruguay,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2013.0,95.252693,MICS 2012-13
1043,Uruguay,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2013.0,100.0,MICS 2012-13
1044,Uruguay,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2013.0,97.39917,MICS 2012-13
1045,Uruguay,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2013.0,97.389862,MICS 2012-13
1046,Uruguay,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2013.0,97.390633,MICS 2012-13
1047,Viet Nam,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2014.0,97.0,MICS 2014
1048,Viet Nam,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2014.0,96.300003,MICS 2014
1049,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2014.0,90.0,MICS 2014
1050,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2014.0,98.400002,MICS 2014
1051,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2014.0,98.699997,MICS 2014
1052,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2014.0,98.800003,MICS 2014
1053,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2014.0,98.800003,MICS 2014
1054,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2014.0,95.900002,MICS 2014
1055,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2014.0,98.5,MICS 2014
1056,Viet Nam,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2014.0,96.599998,MICS 2014
1057,World,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2022.0,81.622461,UNICEF Global Database
1058,World,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2022.0,82.005065,UNICEF Global Database
1059,World,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2022.0,60.745193,UNICEF Global Database
1060,World,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2022.0,71.830199,UNICEF Global Database
1061,World,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2022.0,78.95217,UNICEF Global Database
1062,World,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2022.0,85.219851,UNICEF Global Database
1063,World,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2022.0,92.363568,UNICEF Global Database
1064,World,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2022.0,74.310217,UNICEF Global Database
1065,World,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2022.0,90.692828,UNICEF Global Database
1066,World,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2022.0,81.803677,UNICEF Global Database
1067,Samoa,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2020.0,99.214439,MICS 2019-20
1068,Samoa,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2020.0,96.243637,MICS 2019-20
1069,Samoa,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2020.0,96.716057,MICS 2019-20
1070,Samoa,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2020.0,96.570396,MICS 2019-20
1071,Samoa,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2020.0,99.380707,MICS 2019-20
1072,Samoa,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2020.0,97.408623,MICS 2019-20
1073,Samoa,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2020.0,98.374809,MICS 2019-20
