Geographic area,Indicator,Sex,Education Level,Wealth Quintile,Residence,Unit of measure,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,Observation Status,DATA_SOURCE,Observation confidentaility,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,Time interval at which the source data are collected
Comoros,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2012,49.799999,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2012,71,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2012,80.199997,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2012,82.5,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2012,91.099998,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2012,71.099998,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2012,85.900002,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2012,76,,DHS 2012,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,98.637871,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,97.715027,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,94.878838,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,98.939796,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,98.172302,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,99.432426,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,100,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,97.851913,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,98.307243,,MICS 2018,,,,,Not Known
Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,98.153358,,MICS 2018,,,,,Not Known
Cuba,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,99.840607,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,99.5,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,99.296417,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,99.392578,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,99.968727,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,99.888969,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,99.865044,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,99.472397,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,99.787148,,MICS 2019,,,,,
Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,99.658493,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,93.310112,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,88.013199,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,78.63858,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,89.770088,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,92.400291,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,94.928833,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,96.897141,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,88.347214,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,91.401787,,MICS 2019,,,,,
Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,90.565987,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2020,96.471619,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2020,93.074371,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2020,87.733833,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2020,93.385323,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2020,96.337517,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2020,97.667519,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2020,98.906937,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2020,92.381554,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2020,95.936897,,MICS 2019,,,,,
Algeria,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2020,94.708633,,MICS 2019,,,,,
Ecuador,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,98.400002,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,Not Known
Ecuador,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,98,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,Not Known
Ecuador,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,97.5,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,Not Known
Ecuador,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,98.800003,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,Not Known
Ecuador,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,98.199997,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,Not Known
Egypt,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2014,91.557068,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2014,90.530273,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2014,87.301697,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2014,88.819183,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2014,91.344856,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2014,92.177567,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2014,97.339684,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2014,90.16452,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2014,92.58149,,DHS 2014,,,,,Not Known
Egypt,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2014,91.040314,,DHS 2014,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,47.801689,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,47.053791,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2016,25.51828,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2016,30.484261,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2016,40.557018,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2016,48.946529,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2016,74.783203,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,39.85725,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,77.542603,,DHS 2016,,,,,Not Known
Ethiopia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,47.4454,,DHS 2016,,,,,Not Known
Gabon,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2012,74.703552,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2012,65.894753,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2012,32.904591,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2012,67.06813,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2012,74.880501,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2012,80.806557,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2012,90.511627,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2012,33.30455,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2012,76.240303,,DHS 2012,,,,,Not Known
Gabon,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2012,70.586723,,DHS 2012,,,,,Not Known
Georgia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,99.908241,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,99.904556,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,100,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,100,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,99.794388,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,100,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,99.7864,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,99.986923,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,99.852676,,MICS 2018,,,,,Not Known
Georgia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,99.900002,,MICS 2018,,,,,Not Known
Ghana,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,73.145287,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,68.88044,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,52.168629,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,65.158371,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,74.63858,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,80.707329,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,85.884789,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,64.890602,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,78.744102,,MICS 2017-18,,,,,Not Known
Ghana,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,70.957199,,MICS 2017-18,,,,,Not Known
Guinea,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,38.596241,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,51.783451,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,14.61543,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,28.41132,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,33.595341,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,55.450699,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,73.360184,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,27.22953,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,66.973038,,DHS 2018,,,,,Not Known
Guinea,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,44.649391,,DHS 2018,,,,,Not Known
Gambia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2013,60.073891,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2013,64.274437,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2013,49.490662,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2013,53.73605,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2013,51.292912,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2013,66.809624,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2013,85.165009,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2013,45.837669,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2013,75.165939,,DHS 2013,,,,,Not Known
Gambia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2013,62.08604,,DHS 2013,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,25.063,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,29.224979,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,9.8955812,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,14.18554,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,16.656349,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,32.717258,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,57.118462,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,14.27457,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,47.272449,,MICS 2018-19,,,,,Not Known
Guinea-Bissau,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,27.22732,,MICS 2018-19,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2015,76.219162,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2015,79.97261,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2015,55.680069,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2015,71.041023,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2015,78.431488,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2015,90.566803,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2015,96.175423,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2015,72.200447,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2015,86.626572,,DHS 2014-15,,,,,Not Known
Guatemala,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2015,78.057869,,DHS 2014-15,,,,,Not Known
Guyana,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2020,98.698563,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2020,96.152771,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2020,93.012062,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2020,97.849838,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2020,98.491371,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2020,100,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2020,98.41507,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2020,97.126991,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2020,98.191513,,MICS 2019-20,,,,,
Guyana,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2020,97.366203,,MICS 2019-20,,,,,
Honduras,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,89.190758,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,85.420349,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,72.171349,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,84.022171,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,90.081596,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,95.097641,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,98.607224,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,82.647682,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,93.273811,,MICS 2019,,,,,
Honduras,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,87.283363,,MICS 2019,,,,,
Haiti,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2017,58.396599,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2017,48.747589,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2017,21.877359,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2017,40.527248,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2017,52.72599,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2017,70.744148,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2017,80.165398,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2017,42.912041,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2017,69.575302,,DHS 2016-17,,,,,Not Known
Haiti,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2017,53.601479,,DHS 2016-17,,,,,Not Known
Indonesia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2017,97.643188,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2017,95.697021,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2017,91.373154,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2017,97.207031,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2017,96.903297,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2017,97.833054,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2017,99.513367,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2017,95.400787,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2017,97.765717,,DHS 2017,,,,,
Indonesia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2017,96.637947,,DHS 2017,,,,,
India,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,91.347,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,91.545998,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2016,80.299004,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2016,91.054001,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2016,94.238998,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2016,96.361,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2016,98.531998,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,90.557999,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,93.445,,DHS 2015-16,,,,,Not Known
India,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,91.450996,,DHS 2015-16,,,,,Not Known
Iraq,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,73.199997,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,77.900002,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,54,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,68.400002,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,76.900002,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,86.599998,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,92.5,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,68.800003,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,79.099998,,MICS 2018,,,,,Not Known
Iraq,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,75.699997,,MICS 2018,,,,,Not Known
Jordan,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,96.932373,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,96.043388,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,90.675774,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,97.426819,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,97.850449,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,99.025909,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,97.488564,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,97.427094,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,96.348396,,DHS 2017-18,,,,,Not Known
Jordan,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,96.470284,,DHS 2017-18,,,,,Not Known
Kazakhstan,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2015,99.900002,,MICS 2015,,,,,Not Known
Kazakhstan,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2015,99.800003,,MICS 2015,,,,,Not Known
Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2015,100,,MICS 2015,,,,,Not Known
Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2015,99.900002,,MICS 2015,,,,,Not Known
Kazakhstan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2015,99.900002,,MICS 2015,,,,,Not Known
